,Year,Winner,Musical,Music,Book,Lyrics,Link
0,1949,True,"Kiss Me, Kate",Cole Porter,Bella & Samuel Spewack,Cole Porter,"https://en.wikipedia.org/wiki/Kiss_Me,_Kate"
1,1950,True,South Pacific †,Richard Rodgers,Oscar Hammerstein II & Joshua Logan,Hammerstein,https://en.wikipedia.org/wiki/South_Pacific_(musical)
2,1951,True,Guys and Dolls,Frank Loesser,Abe Burrows & Jo Swerling,Frank Loesser,https://en.wikipedia.org/wiki/Guys_and_Dolls
3,1952,True,The King and I,Richard Rodgers,Oscar Hammerstein II,Hammerstein,https://en.wikipedia.org/wiki/The_King_and_I
4,1953,True,Wonderful Town,Leonard Bernstein,Jerome Chodorov & Joseph Fields,Betty Comden & Adolph Green,https://en.wikipedia.org/wiki/Wonderful_Town
5,1954,True,Kismet,Alexander Borodin,Luther Davis & Charles Lederer,Chet Forrest & Bob Wright,https://en.wikipedia.org/wiki/Kismet_(musical)
6,1955,True,The Pajama Game,Richard Adler & Jerry Ross,George Abbott & Richard Pike Bissell,Richard Adler & Jerry Ross,https://en.wikipedia.org/wiki/The_Pajama_Game
7,1956,True,Damn Yankees,Richard Adler,George Abbott & Douglass Wallop,Jerry Ross,https://en.wikipedia.org/wiki/Damn_Yankees
8,1956,False,Pipe Dream,Richard Rodgers,Oscar Hammerstein II,Hammerstein,https://en.wikipedia.org/wiki/Pipe_Dream_(musical)
9,1957,True,My Fair Lady,Frederick Loewe,Alan Jay Lerner,Lerner,https://en.wikipedia.org/wiki/My_Fair_Lady
10,1957,False,Bells Are Ringing,Jule Styne,Betty Comden & Adolph Green,Comden & Green,https://en.wikipedia.org/wiki/Bells_Are_Ringing_(musical)
11,1957,False,Candide,Leonard Bernstein,Lillian Hellman,Richard Wilbur,https://en.wikipedia.org/wiki/Candide_(operetta)
12,1957,False,The Most Happy Fella,Frank Loesser,Frank Loesser,Frank Loesser,https://en.wikipedia.org/wiki/The_Most_Happy_Fella
13,1958,True,The Music Man,Willson,Franklin Lacey & Meredith Willson,Willson,https://en.wikipedia.org/wiki/The_Music_Man
14,1958,False,West Side Story,Leonard Bernstein,Arthur Laurents,Stephen Sondheim,https://en.wikipedia.org/wiki/West_Side_Story
15,1958,False,New Girl in Town,Bob Merrill,George Abbott,Bob Merrill,https://en.wikipedia.org/wiki/New_Girl_in_Town
16,1958,False,"Oh, Captain!",Ray Evans & Jay Livingston,José Ferrer & Al Morgan,Ray Evans & Jay Livingston,"https://en.wikipedia.org/wiki/Oh,_Captain!"
17,1958,False,Jamaica,Harold Arlen,Yip Harburg & Fred Saidy,Harburg,https://en.wikipedia.org/wiki/Jamaica_(musical)
18,1959,True,Redhead,Albert Hague,"Dorothy, Herbert Fields, David Shaw & Sidney Sheldon",D. Fields,https://en.wikipedia.org/wiki/Redhead_(musical)
19,1959,False,Flower Drum Song,Richard Rodgers,Joseph Fields & Oscar Hammerstein II,Hammerstein,https://en.wikipedia.org/wiki/Flower_Drum_Song
20,1959,False,La Plume de Ma Tante,Gérard Calvi,Robert Dhéry,Ross Parker,https://en.wikipedia.org/wiki/La_Plume_de_Ma_Tante
21,1960,True,The Sound of Music,Richard Rodgers,Russel Crouse & Howard Lindsay,Oscar Hammerstein II,https://en.wikipedia.org/wiki/The_Sound_of_Music
22,1960,True,Fiorello! †,Jerry Bock,George Abbott & Jerome Weidman,Sheldon Harnick,https://en.wikipedia.org/wiki/Fiorello!
23,1960,False,Gypsy,Jule Styne,Arthur Laurents,Stephen Sondheim,https://en.wikipedia.org/wiki/Gypsy_(musical)
24,1960,False,Once Upon a Mattress,Mary Rodgers,"Marshall Barer, Dean Fuller & Jay Thompson",Barer,https://en.wikipedia.org/wiki/Once_Upon_a_Mattress
25,1960,False,Take Me Along,Bob Merrill,Bob Russell & Joseph Stein,Bob Merrill,https://en.wikipedia.org/wiki/Take_Me_Along
26,1961,True,Bye Bye Birdie,Charles Strouse,Michael Stewart,Lee Adams,https://en.wikipedia.org/wiki/Bye_Bye_Birdie_(musical)
27,1961,False,Do Re Mi,Jule Styne,Garson Kanin,Betty Comden & Adolph Green,https://en.wikipedia.org/wiki/Do_Re_Mi_(musical)
28,1961,False,Irma La Douce,Marguerite Monnot,"Alexandre Breffort, David Heneker, Julian More & Monty Norman","Breffort, Heneker, More & Norman",https://en.wikipedia.org/wiki/Irma_La_Douce_(musical)
29,1962,True,How to Succeed in Business Without Really Trying †,Frank Loesser,"Abe Burrows, Willie Gilbert & Jack Weinstock",Frank Loesser,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical)
30,1962,False,Carnival!,Bob Merrill,Helen Deutsch & Michael Stewart,Bob Merrill,https://en.wikipedia.org/wiki/Carnival!
31,1962,False,Milk and Honey,Jerry Herman,Don Appell,Jerry Herman,https://en.wikipedia.org/wiki/Milk_and_Honey_(musical)
32,1962,False,No Strings,Richard Rodgers,Samuel A. Taylor,Richard Rodgers,https://en.wikipedia.org/wiki/No_Strings
33,1963,True,A Funny Thing Happened on the Way to the Forum,Stephen Sondheim,Larry Gelbart & Burt Shevelove,Stephen Sondheim,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum
34,1963,False,Little Me,Cy Coleman,Neil Simon,Carolyn Leigh,https://en.wikipedia.org/wiki/Little_Me_(musical)
35,1963,False,Oliver!,Lionel Bart,Lionel Bart,Lionel Bart,https://en.wikipedia.org/wiki/Oliver!
36,1963,False,Stop the World – I Want to Get Off,Leslie Bricusse & Anthony Newley,Leslie Bricusse & Anthony Newley,Leslie Bricusse & Anthony Newley,https://en.wikipedia.org/wiki/Stop_the_World_%E2%80%93_I_Want_to_Get_Off
37,1964,True,"Hello, Dolly!",Jerry Herman,Michael Stewart,Jerry Herman,"https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
38,1964,False,Funny Girl,Jule Styne,Isobel Lennart,Bob Merrill,https://en.wikipedia.org/wiki/Funny_Girl_(musical)
39,1964,False,High Spirits,Timothy Gray & Hugh Martin,Timothy Gray & Hugh Martin,Timothy Gray & Hugh Martin,https://en.wikipedia.org/wiki/High_Spirits_(musical)
40,1964,False,She Loves Me,Jerry Bock,Joe Masteroff,Sheldon Harnick,https://en.wikipedia.org/wiki/She_Loves_Me
41,1965,True,Fiddler on the Roof,Jerry Bock,Joseph Stein,Sheldon Harnick,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof
42,1965,False,Golden Boy,Charles Strouse,William Gibson & Clifford Odets,Lee Adams,https://en.wikipedia.org/wiki/Golden_Boy_(musical)
43,1965,False,Half a Sixpence,David Heneker,Beverley Cross,David Heneker,https://en.wikipedia.org/wiki/Half_a_Sixpence
44,1965,False,"Oh, What a Lovely War!",Various,Joan Littlewood & Theatre Workshop,Various,"https://en.wikipedia.org/wiki/Oh,_What_a_Lovely_War!"
45,1966,True,Man of La Mancha,Mitch Leigh,Dale Wasserman,Joe Darion,https://en.wikipedia.org/wiki/Man_of_La_Mancha
46,1966,False,Mame,Jerry Herman,Jerome Lawrence & Robert E. Lee,Jerry Herman,https://en.wikipedia.org/wiki/Mame_(musical)
47,1966,False,Skyscraper,Jimmy Van Heusen,Peter Stone,Sammy Cahn,https://en.wikipedia.org/wiki/Skyscraper_(musical)
48,1966,False,Sweet Charity,Cy Coleman,Neil Simon,Dorothy Fields,https://en.wikipedia.org/wiki/Sweet_Charity
49,1967,True,Cabaret,John Kander,Joe Masteroff,Fred Ebb,https://en.wikipedia.org/wiki/Cabaret_(musical)
50,1967,False,I Do! I Do!,Harvey Schmidt,Tom Jones,Jones,https://en.wikipedia.org/wiki/I_Do!_I_Do!
51,1967,False,The Apple Tree,Bock,Jerry Bock & Sheldon Harnick,Harnick,https://en.wikipedia.org/wiki/The_Apple_Tree
52,1967,False,Walking Happy,Jimmy Van Heusen,Ketti Frings & Roger O. Hirson,Sammy Cahn,https://en.wikipedia.org/wiki/Walking_Happy
53,1968,True,"Hallelujah, Baby!",Jule Styne,Arthur Laurents,Betty Comden & Adolph Green,"https://en.wikipedia.org/wiki/Hallelujah,_Baby!"
54,1968,False,The Happy Time,John Kander,N. Richard Nash,Fred Ebb,https://en.wikipedia.org/wiki/The_Happy_Time_(musical)
55,1968,False,"How Now, Dow Jones",Elmer Bernstein,Max Shulman,Carolyn Leigh,"https://en.wikipedia.org/wiki/How_Now,_Dow_Jones"
