,Year,Winner,Musical,Music,Book,Lyrics,Link
0,1994,True,Carousel,Richard Rodgers,Oscar Hammerstein II,Hammerstein,https://en.wikipedia.org/wiki/Carousel_(musical)
1,1994,False,Damn Yankees,Richard Adler,George Abbott & Douglass Wallop,Jerry Ross,https://en.wikipedia.org/wiki/Damn_Yankees
2,1994,False,Grease,Warren Casey & Jim Jacobs,Warren Casey & Jim Jacobs,Warren Casey & Jim Jacobs,https://en.wikipedia.org/wiki/Grease_(musical)
3,1994,False,She Loves Me,Jerry Bock,Joe Masteroff,Sheldon Harnick,https://en.wikipedia.org/wiki/She_Loves_Me
4,1995,True,Show Boat,Jerome Kern,Oscar Hammerstein II,Hammerstein & P. G. Wodehouse,https://en.wikipedia.org/wiki/Show_Boat
5,1995,False,How to Succeed in Business Without Really Trying,Frank Loesser,"Abe Burrows, Willie Gilbert &  Jack Weinstock",Frank Loesser,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying
6,1996,True,The King and I,Richard Rodgers,Oscar Hammerstein II,Hammerstein,https://en.wikipedia.org/wiki/The_King_and_I
7,1996,False,A Funny Thing Happened on the Way to the Forum,Stephen Sondheim,Larry Gelbart & Burt Shevelove,Stephen Sondheim,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum
8,1996,False,"Hello, Dolly!",Jerry Herman,Michael Stewart,Jerry Herman,"https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
9,1996,False,Company,Sondheim,George Furth,Sondheim,https://en.wikipedia.org/wiki/Company_(musical)
10,1997,True,Chicago,John Kander,Fred Ebb & Bob Fosse,Ebb,https://en.wikipedia.org/wiki/Chicago_(musical)
11,1997,False,Annie,Charles Strouse,Thomas Meehan,Martin Charnin,https://en.wikipedia.org/wiki/Annie_(musical)
12,1997,False,Candide,Leonard Bernstein,Lillian Hellman & Hugh Wheeler,Various,https://en.wikipedia.org/wiki/Candide_(musical)
13,1997,False,Once Upon a Mattress,Mary Rodgers,"Marshall Barer, Dean Fuller & Jay Thompson",Barer,https://en.wikipedia.org/wiki/Once_Upon_a_Mattress
14,1998,True,Cabaret,John Kander,Joe Masteroff,Fred Ebb,https://en.wikipedia.org/wiki/Cabaret_(musical)
15,1998,False,1776,Sherman Edwards,Peter Stone,Sherman Edwards,https://en.wikipedia.org/wiki/1776_(musical)
16,1998,False,The Sound of Music,Richard Rodgers,Russel Crouse & Howard Lindsay,Oscar Hammerstein II,https://en.wikipedia.org/wiki/The_Sound_of_Music
