,Year,Winner,Play,Author,Link
0,1994,True,An Inspector Calls,J. B. Priestley,https://en.wikipedia.org/wiki/An_Inspector_Calls
1,1994,False,Abe Lincoln in Illinois,Robert E. Sherwood,https://en.wikipedia.org/wiki/Abe_Lincoln_in_Illinois_(play)
2,1994,False,Medea,Euripides,https://en.wikipedia.org/wiki/Medea_(play)
3,1994,False,Timon of Athens,William Shakespeare,https://en.wikipedia.org/wiki/Timon_of_Athens
4,1995,True,The Heiress,Augustus Goetz and Ruth Goetz,https://en.wikipedia.org/wiki/The_Heiress_(1947_play)
5,1995,False,Hamlet,William Shakespeare,https://en.wikipedia.org/wiki/Hamlet
6,1995,False,The Molière Comedies,Molière,https://en.wikipedia.org/wiki/Moli%C3%A8re
7,1995,False,The Rose Tattoo,Tennessee Williams,https://en.wikipedia.org/wiki/The_Rose_Tattoo
8,1996,True,A Delicate Balance,Edward Albee,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play)
9,1996,False,A Midsummer Night's Dream,William Shakespeare,https://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream
10,1996,False,Inherit the Wind,Jerome Lawrence and Robert E. Lee,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play)
11,1997,True,A Doll's House,Henrik Ibsen,https://en.wikipedia.org/wiki/A_Doll%27s_House
12,1997,False,London Assurance,Dion Boucicault,https://en.wikipedia.org/wiki/London_Assurance
13,1997,False,Present Laughter,Noël Coward,https://en.wikipedia.org/wiki/Present_Laughter
14,1997,False,The Gin Game,Donald L. Coburn,https://en.wikipedia.org/wiki/The_Gin_Game
15,1998,True,A View from the Bridge,Arthur Miller,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
16,1998,False,"Ah, Wilderness!",Eugene O'Neill,"https://en.wikipedia.org/wiki/Ah,_Wilderness!"
17,1998,False,The Chairs,Eugène Ionesco,https://en.wikipedia.org/wiki/The_Chairs
18,1998,False,The Diary of Anne Frank,Frances Goodrich and Albert Hackett,https://en.wikipedia.org/wiki/The_Diary_of_Anne_Frank_(play)
19,1999,True,Death of a Salesman,Arthur Miller,https://en.wikipedia.org/wiki/Death_of_a_Salesman
20,1999,False,Electra,Sophocles,https://en.wikipedia.org/wiki/Electra_(Sophocles_play)
21,1999,False,The Iceman Cometh,Eugene O'Neill,https://en.wikipedia.org/wiki/The_Iceman_Cometh
22,1999,False,Twelfth Night,William Shakespeare,https://en.wikipedia.org/wiki/Twelfth_Night
23,2000,True,The Real Thing,Tom Stoppard,https://en.wikipedia.org/wiki/The_Real_Thing_(play)
24,2000,False,Amadeus,Peter Shaffer,https://en.wikipedia.org/wiki/Amadeus
25,2000,False,A Moon for the Misbegotten,Eugene O'Neill,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten
26,2000,False,The Price,Arthur Miller,https://en.wikipedia.org/wiki/The_Price_(play)
27,2001,True,One Flew Over the Cuckoo's Nest,Dale Wasserman,https://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(play)
