,Year,Musical,Book,Music,Lyrics
0,1949 | 3rd Tony Awards,"Kiss Me, Kate",Bella & Samuel Spewack,Cole Porter,Cole Porter
1,1950 | 4th Tony Awards,South Pacific,Oscar Hammerstein II & Joshua Logan,Richard Rodgers,Hammerstein
2,1951 | 5th Tony Awards,Guys and Dolls,Abe Burrows & Jo Swerling,Frank Loesser,Frank Loesser
3,1952 | 6th Tony Awards,The King and I,Oscar Hammerstein II,Richard Rodgers,Hammerstein
4,1953 | 7th Tony Awards,Wonderful Town,Jerome Chodorov & Joseph Fields,Leonard Bernstein,Betty Comden & Adolph Green
5,1954 | 8th Tony Awards,Kismet,Luther Davis & Charles Lederer,Alexander Borodin,Chet Forrest & Bob Wright
6,1955 | 9th Tony Awards,The Pajama Game,George Abbott & Richard Pike Bissell,Richard Adler & Jerry Ross,Richard Adler & Jerry Ross
7,1956 | 10th Tony Awards,Damn Yankees,George Abbott & Douglass Wallop,Richard Adler,Jerry Ross
8,1956 | 10th Tony Awards,Pipe Dream,Oscar Hammerstein II,Richard Rodgers,Hammerstein
9,1957 | 11th Tony Awards,My Fair Lady,Alan Jay Lerner,Frederick Loewe,Lerner
10,1957 | 11th Tony Awards,Bells Are Ringing,Betty Comden & Adolph Green,Jule Styne,Comden & Green
11,1957 | 11th Tony Awards,Candide,Lillian Hellman,Leonard Bernstein,Richard Wilbur
12,1957 | 11th Tony Awards,The Most Happy Fella,Frank Loesser,Frank Loesser,Frank Loesser
13,1958 | 12th Tony Awards,The Music Man,Franklin Lacey & Meredith Willson,Willson,Willson
14,1958 | 12th Tony Awards,West Side Story,Arthur Laurents,Leonard Bernstein,Stephen Sondheim
15,1958 | 12th Tony Awards,New Girl in Town,George Abbott,Bob Merrill,Bob Merrill
16,1958 | 12th Tony Awards,"Oh, Captain!",José Ferrer & Al Morgan,Ray Evans & Jay Livingston,Ray Evans & Jay Livingston
17,1958 | 12th Tony Awards,Jamaica,Yip Harburg & Fred Saidy,Harold Arlen,Harburg
18,1959 | 13th Tony Awards,Redhead,"Dorothy, Herbert Fields, David Shaw & Sidney Sheldon",Albert Hague,D. Fields
19,1959 | 13th Tony Awards,Flower Drum Song,Joseph Fields & Oscar Hammerstein II,Richard Rodgers,Hammerstein
20,1959 | 13th Tony Awards,La Plume de Ma Tante,Robert Dhéry,Gérard Calvi,Ross Parker
21,1960 | 14th Tony Awards,The Sound of Music,Russel Crouse & Howard Lindsay,Richard Rodgers,Oscar Hammerstein II
22,1960 | 14th Tony Awards,Fiorello!,George Abbott & Jerome Weidman,Jerry Bock,Sheldon Harnick
23,1960 | 14th Tony Awards,Gypsy,Arthur Laurents,Jule Styne,Stephen Sondheim
24,1960 | 14th Tony Awards,Once Upon a Mattress,"Marshall Barer, Dean Fuller & Jay Thompson",Mary Rodgers,Barer
25,1960 | 14th Tony Awards,Take Me Along,Bob Russell & Joseph Stein,Bob Merrill,Bob Merrill
26,1961 | 15th Tony Awards,Bye Bye Birdie,Michael Stewart,Charles Strouse,Lee Adams
27,1961 | 15th Tony Awards,Do Re Mi,Garson Kanin,Jule Styne,Betty Comden & Adolph Green
28,1961 | 15th Tony Awards,Irma La Douce,"Alexandre Breffort, David Heneker, Julian More & Monty Norman",Marguerite Monnot,"Breffort, Heneker, More & Norman"
29,1962 | 16th Tony Awards,How to Succeed in Business Without Really Trying,"Abe Burrows, Willie Gilbert & Jack Weinstock",Frank Loesser,Frank Loesser
30,1962 | 16th Tony Awards,Carnival!,Helen Deutsch & Michael Stewart,Bob Merrill,Bob Merrill
31,1962 | 16th Tony Awards,Milk and Honey,Don Appell,Jerry Herman,Jerry Herman
32,1962 | 16th Tony Awards,No Strings,Samuel A. Taylor,Richard Rodgers,Richard Rodgers
33,1963 | 17th Tony Awards,A Funny Thing Happened on the Way to the Forum,Larry Gelbart & Burt Shevelove,Stephen Sondheim,Stephen Sondheim
34,1963 | 17th Tony Awards,Little Me,Neil Simon,Cy Coleman,Carolyn Leigh
35,1963 | 17th Tony Awards,Oliver!,Lionel Bart,Lionel Bart,Lionel Bart
36,1963 | 17th Tony Awards,Stop the World – I Want to Get Off,Leslie Bricusse & Anthony Newley,Leslie Bricusse & Anthony Newley,Leslie Bricusse & Anthony Newley
37,1964 | 18th Tony Awards,"Hello, Dolly!",Michael Stewart,Jerry Herman,Jerry Herman
38,1964 | 18th Tony Awards,Funny Girl,Isobel Lennart,Jule Styne,Bob Merrill
39,1964 | 18th Tony Awards,High Spirits,Timothy Gray & Hugh Martin,Timothy Gray & Hugh Martin,Timothy Gray & Hugh Martin
40,1964 | 18th Tony Awards,She Loves Me,Joe Masteroff,Jerry Bock,Sheldon Harnick
41,1965 | 19th Tony Awards,Fiddler on the Roof,Joseph Stein,Jerry Bock,Sheldon Harnick
42,1965 | 19th Tony Awards,Golden Boy,William Gibson & Clifford Odets,Charles Strouse,Lee Adams
43,1965 | 19th Tony Awards,Half a Sixpence,Beverley Cross,David Heneker,David Heneker
44,1965 | 19th Tony Awards,"Oh, What a Lovely War!",Joan Littlewood & Theatre Workshop,Various,Various
45,1966 | 20th Tony Awards,Man of La Mancha,Dale Wasserman,Mitch Leigh,Joe Darion
46,1966 | 20th Tony Awards,Mame,Jerome Lawrence & Robert E. Lee,Jerry Herman,Jerry Herman
47,1966 | 20th Tony Awards,Skyscraper,Peter Stone,Jimmy Van Heusen,Sammy Cahn
48,1966 | 20th Tony Awards,Sweet Charity,Neil Simon,Cy Coleman,Dorothy Fields
49,1967 | 21st Tony Awards,Cabaret,Joe Masteroff,John Kander,Fred Ebb
